LIGID,LIGIDs
B1S,"B1S,K36,UED_1,UED_2"
YLM,"YLM,YLS"
QYS,"QYS,VDJ"
A1AGS,"A1AGS,A1AGT"
A1AGQ,"A1AGQ,A1AGR"
A1AGO,"A1AGO,A1AGP"
A1AGK,"A1AGK,A1AGL"
A1AGI,"A1AGI,A1AGJ"
A1AGY,"A1AGY,A1AGZ"
A1AGW,"A1AGW,A1AGX"
A1AGG,"A1AGG,A1AGH"
UV2,"UV2,UUR"
URR,"URR,UO9"
PJR,"PJR,P8C"
P8L,"P8L,P8U"
N38,"N38"
M40,"M40"
FZI,"FZI,FWI"
FVE,"FVE,FV5"
FHS,"FHS,FEY"
F8C,"F8C,F5L"
AW4,"AW4,B3G"
A1AGU,"A1AGU,A1AGV"
A1AGM,"A1AGM,A1AGN"
YN1,"YN1,YMY"
YMV,"YMV,YMS"
YMM,"YMM,YMJ"
YMG,"YMG,YMD"
YM1,"YM1,YLV"
XTM,"XTM,YLJ,YLD"
YL7,"YL7,YKY"
YKV,"YKV,YKS"
YKP,"YKP,YKM"
YKA,"YKA,YKD"
Y8V,"Y8V,Y8S"
Y4V,"Y4V,Y7M"
Y51,"Y51,Y71"
Y4J,"Y4J,Y64"
Y48,"Y48"
XFF,"XFF,XFR"
XF8,"XF8"
UQO,"UQO,WJB"
WIX,"WIX,WJ0"
WIO,"WIO"
WGO,"WGO,WGU"
WF5,"WF5"
WEL,"WEL,WEQ"
W48,"W48"
VLU,"VLU,VM0"
V46,"V46"
UTU,"UTU"
UTL,"UTL"
UQO,"UQO"
T0D,"T0D"
SD6,"SD6,S9U"
S4L,"S4L"
QZ4,"QZ4"
Q56,"Q56"
P9R,"P9R"
N63,"N63"
N40,"N40"
B6Y,"B6Y,N02"
IUB,"IUB,IRK"
IRW,"IRW,ITX"
IRR,"IRR,IT3,ITG"
I54,"I54"
FN2,"FN2"
FP8,"FP8"
FIK,"FIK"
FIW,"FIW"
EW9,"EW9"
ESS,"ESS"
ET6,"ET6"
EO6,"EO6"
EQS,"EQS"
ELL,"ELL"
AVY,"AVY"
B3J,"B3J"
A1AGA,"A1AGA,A1AGB"
